(0.20, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.06, 0.50)(0.18, -0.05, 0.53)(0.19, -0.05, 0.55)(0.20, -0.09, 0.47)(0.21, -0.03, 0.50)(0.21, -0.01, 0.54)(0.20, 0.00, 0.56)(0.20, 0.00, 0.58)(0.20, -0.09, 0.47)(0.22, -0.04, 0.51)(0.21, -0.04, 0.55)(0.19, -0.06, 0.54)(0.19, -0.07, 0.52)(0.21, -0.10, 0.48)(0.23, -0.06, 0.51)(0.22, -0.07, 0.54)(0.20, -0.08, 0.53)(0.20, -0.08, 0.51)(0.22, -0.10, 0.48)(0.24, -0.08, 0.52)(0.23, -0.08, 0.54)(0.21, -0.09, 0.53)(0.21, -0.09, 0.51)
(0.20, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.06, 0.50)(0.18, -0.05, 0.53)(0.19, -0.05, 0.55)(0.20, -0.09, 0.47)(0.21, -0.03, 0.50)(0.21, -0.01, 0.54)(0.20, 0.00, 0.56)(0.20, 0.00, 0.58)(0.20, -0.09, 0.47)(0.22, -0.04, 0.51)(0.21, -0.04, 0.55)(0.19, -0.06, 0.54)(0.19, -0.07, 0.52)(0.21, -0.10, 0.48)(0.23, -0.06, 0.51)(0.22, -0.07, 0.54)(0.20, -0.08, 0.53)(0.20, -0.08, 0.51)(0.22, -0.10, 0.48)(0.24, -0.08, 0.52)(0.23, -0.08, 0.54)(0.21, -0.09, 0.53)(0.21, -0.09, 0.51)
(0.20, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.06, 0.50)(0.17, -0.05, 0.54)(0.19, -0.05, 0.55)(0.20, -0.09, 0.47)(0.21, -0.03, 0.51)(0.21, -0.01, 0.54)(0.20, 0.00, 0.56)(0.20, 0.00, 0.58)(0.20, -0.09, 0.48)(0.22, -0.04, 0.51)(0.21, -0.04, 0.55)(0.19, -0.06, 0.54)(0.19, -0.07, 0.52)(0.21, -0.10, 0.48)(0.23, -0.06, 0.51)(0.22, -0.07, 0.55)(0.20, -0.08, 0.53)(0.20, -0.08, 0.51)(0.22, -0.10, 0.48)(0.24, -0.08, 0.52)(0.23, -0.08, 0.54)(0.21, -0.09, 0.53)(0.21, -0.09, 0.52)
(0.20, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.05, 0.50)(0.18, -0.05, 0.53)(0.19, -0.05, 0.54)(0.20, -0.08, 0.47)(0.21, -0.03, 0.50)(0.21, -0.01, 0.54)(0.20, 0.00, 0.56)(0.20, 0.00, 0.58)(0.21, -0.09, 0.47)(0.22, -0.04, 0.51)(0.21, -0.04, 0.55)(0.19, -0.06, 0.54)(0.19, -0.07, 0.52)(0.21, -0.09, 0.48)(0.23, -0.06, 0.51)(0.22, -0.07, 0.54)(0.20, -0.08, 0.53)(0.20, -0.08, 0.51)(0.22, -0.10, 0.48)(0.24, -0.08, 0.52)(0.23, -0.08, 0.54)(0.21, -0.09, 0.53)(0.21, -0.09, 0.51)
(0.21, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.05, 0.50)(0.18, -0.05, 0.53)(0.19, -0.05, 0.54)(0.20, -0.08, 0.47)(0.21, -0.03, 0.50)(0.21, -0.01, 0.54)(0.21, 0.00, 0.56)(0.20, 0.00, 0.58)(0.21, -0.09, 0.47)(0.23, -0.04, 0.50)(0.21, -0.04, 0.54)(0.20, -0.06, 0.53)(0.19, -0.07, 0.52)(0.22, -0.09, 0.47)(0.24, -0.06, 0.51)(0.22, -0.07, 0.54)(0.21, -0.08, 0.53)(0.20, -0.08, 0.51)(0.22, -0.10, 0.48)(0.24, -0.08, 0.52)(0.23, -0.08, 0.54)(0.22, -0.09, 0.52)(0.21, -0.09, 0.51)
(0.21, -0.10, 0.46)(0.22, -0.07, 0.49)(0.19, -0.08, 0.47)(0.17, -0.05, 0.50)(0.18, -0.05, 0.53)(0.19, -0.05, 0.54)(0.20, -0.08, 0.47)(0.21, -0.03, 0.50)(0.21, -0.01, 0.54)(0.20, 0.00, 0.56)(0.20, 0.00, 0.57)(0.21, -0.09, 0.47)(0.23, -0.04, 0.50)(0.21, -0.04, 0.54)(0.20, -0.06, 0.53)(0.19, -0.07, 0.52)(0.22, -0.09, 0.47)(0.24, -0.06, 0.51)(0.22, -0.06, 0.54)(0.21, -0.08, 0.52)(0.21, -0.08, 0.51)(0.22, -0.10, 0.48)(0.25, -0.08, 0.52)(0.23, -0.08, 0.54)(0.22, -0.09, 0.52)(0.22, -0.08, 0.51)
(0.21, -0.10, 0.44)(0.23, -0.07, 0.47)(0.20, -0.09, 0.45)(0.18, -0.06, 0.48)(0.18, -0.05, 0.51)(0.19, -0.05, 0.52)(0.21, -0.09, 0.45)(0.21, -0.03, 0.48)(0.21, -0.01, 0.51)(0.21, 0.00, 0.54)(0.20, 0.00, 0.55)(0.21, -0.09, 0.45)(0.23, -0.05, 0.48)(0.22, -0.04, 0.52)(0.20, -0.07, 0.51)(0.20, -0.07, 0.50)(0.22, -0.10, 0.45)(0.24, -0.06, 0.49)(0.22, -0.07, 0.52)(0.21, -0.08, 0.50)(0.21, -0.08, 0.48)(0.23, -0.11, 0.46)(0.25, -0.08, 0.50)(0.24, -0.08, 0.52)(0.22, -0.09, 0.50)(0.22, -0.09, 0.49)
(0.21, -0.14, 0.39)(0.23, -0.11, 0.42)(0.20, -0.12, 0.40)(0.18, -0.09, 0.42)(0.18, -0.07, 0.45)(0.19, -0.07, 0.46)(0.21, -0.12, 0.40)(0.22, -0.06, 0.42)(0.21, -0.04, 0.45)(0.21, -0.03, 0.47)(0.20, -0.03, 0.49)(0.21, -0.13, 0.40)(0.23, -0.08, 0.43)(0.22, -0.06, 0.46)(0.20, -0.08, 0.46)(0.20, -0.09, 0.45)(0.22, -0.13, 0.41)(0.24, -0.09, 0.43)(0.22, -0.09, 0.47)(0.21, -0.10, 0.46)(0.21, -0.11, 0.44)(0.22, -0.14, 0.41)(0.25, -0.11, 0.45)(0.24, -0.10, 0.47)(0.22, -0.11, 0.46)(0.22, -0.11, 0.44)
(0.21, -0.14, 0.39)(0.23, -0.11, 0.42)(0.20, -0.12, 0.40)(0.18, -0.09, 0.42)(0.18, -0.07, 0.45)(0.19, -0.07, 0.46)(0.21, -0.12, 0.40)(0.22, -0.06, 0.42)(0.21, -0.04, 0.45)(0.21, -0.03, 0.47)(0.20, -0.03, 0.49)(0.21, -0.13, 0.40)(0.23, -0.08, 0.43)(0.22, -0.06, 0.46)(0.20, -0.08, 0.46)(0.20, -0.09, 0.45)(0.22, -0.13, 0.41)(0.24, -0.09, 0.43)(0.22, -0.09, 0.47)(0.21, -0.10, 0.46)(0.21, -0.11, 0.44)(0.22, -0.14, 0.41)(0.25, -0.11, 0.45)(0.24, -0.10, 0.47)(0.22, -0.11, 0.46)(0.22, -0.11, 0.44)
(0.17, -0.19, 0.35)(0.19, -0.17, 0.38)(0.17, -0.17, 0.35)(0.16, -0.13, 0.37)(0.16, -0.11, 0.40)(0.16, -0.11, 0.41)(0.17, -0.18, 0.36)(0.20, -0.13, 0.39)(0.20, -0.10, 0.42)(0.19, -0.09, 0.44)(0.18, -0.09, 0.45)(0.17, -0.18, 0.36)(0.21, -0.15, 0.40)(0.19, -0.13, 0.43)(0.17, -0.13, 0.43)(0.15, -0.14, 0.42)(0.18, -0.19, 0.37)(0.21, -0.16, 0.40)(0.19, -0.15, 0.43)(0.17, -0.15, 0.42)(0.16, -0.16, 0.41)(0.18, -0.20, 0.37)(0.20, -0.18, 0.41)(0.19, -0.17, 0.43)(0.17, -0.17, 0.43)(0.17, -0.17, 0.41)
(0.12, -0.20, 0.34)(0.12, -0.19, 0.39)(0.13, -0.18, 0.35)(0.14, -0.14, 0.37)(0.14, -0.12, 0.40)(0.14, -0.11, 0.41)(0.12, -0.19, 0.36)(0.14, -0.16, 0.41)(0.13, -0.14, 0.45)(0.12, -0.13, 0.46)(0.11, -0.12, 0.47)(0.12, -0.19, 0.36)(0.13, -0.18, 0.42)(0.11, -0.15, 0.46)(0.09, -0.14, 0.47)(0.08, -0.13, 0.47)(0.11, -0.20, 0.36)(0.11, -0.19, 0.42)(0.10, -0.17, 0.45)(0.09, -0.16, 0.47)(0.07, -0.14, 0.47)(0.10, -0.21, 0.36)(0.09, -0.20, 0.42)(0.09, -0.19, 0.44)(0.08, -0.18, 0.45)(0.07, -0.17, 0.46)
