(0.02, -0.09, 0.40)(0.02, -0.05, 0.42)(0.00, -0.08, 0.41)(-0.03, -0.07, 0.43)(-0.04, -0.05, 0.46)(-0.03, -0.04, 0.47)(0.01, -0.08, 0.41)(-0.01, -0.02, 0.42)(-0.03, 0.00, 0.46)(-0.04, 0.01, 0.48)(-0.04, 0.01, 0.49)(0.02, -0.08, 0.41)(0.01, -0.02, 0.43)(-0.01, -0.02, 0.47)(-0.01, -0.05, 0.47)(-0.01, -0.06, 0.46)(0.03, -0.08, 0.41)(0.02, -0.03, 0.44)(0.01, -0.04, 0.47)(0.01, -0.06, 0.46)(0.01, -0.07, 0.45)(0.04, -0.08, 0.41)(0.04, -0.04, 0.45)(0.03, -0.04, 0.47)(0.02, -0.06, 0.46)(0.02, -0.07, 0.45)
(0.02, -0.09, 0.40)(0.02, -0.05, 0.42)(0.00, -0.08, 0.41)(-0.03, -0.07, 0.43)(-0.04, -0.05, 0.46)(-0.03, -0.04, 0.47)(0.01, -0.08, 0.41)(-0.01, -0.02, 0.42)(-0.03, 0.00, 0.46)(-0.04, 0.01, 0.48)(-0.04, 0.01, 0.49)(0.02, -0.08, 0.41)(0.01, -0.02, 0.43)(-0.01, -0.02, 0.47)(-0.01, -0.05, 0.47)(-0.01, -0.06, 0.46)(0.03, -0.08, 0.41)(0.02, -0.03, 0.44)(0.01, -0.04, 0.47)(0.01, -0.06, 0.46)(0.01, -0.07, 0.45)(0.04, -0.08, 0.41)(0.04, -0.04, 0.45)(0.03, -0.04, 0.47)(0.02, -0.06, 0.46)(0.02, -0.07, 0.45)
(0.02, -0.09, 0.41)(0.02, -0.05, 0.44)(0.00, -0.08, 0.42)(-0.03, -0.07, 0.45)(-0.03, -0.05, 0.48)(-0.03, -0.04, 0.49)(0.01, -0.08, 0.42)(-0.01, -0.02, 0.44)(-0.03, 0.00, 0.48)(-0.03, 0.00, 0.50)(-0.04, 0.00, 0.51)(0.02, -0.08, 0.42)(0.01, -0.03, 0.44)(0.00, -0.03, 0.49)(-0.01, -0.06, 0.48)(-0.01, -0.07, 0.47)(0.03, -0.08, 0.43)(0.03, -0.03, 0.45)(0.01, -0.04, 0.49)(0.01, -0.06, 0.48)(0.01, -0.07, 0.46)(0.04, -0.08, 0.43)(0.04, -0.04, 0.46)(0.03, -0.05, 0.48)(0.03, -0.06, 0.47)(0.02, -0.07, 0.46)
(0.02, -0.09, 0.41)(0.02, -0.05, 0.44)(0.00, -0.08, 0.42)(-0.03, -0.07, 0.45)(-0.03, -0.05, 0.48)(-0.03, -0.04, 0.49)(0.01, -0.08, 0.42)(-0.01, -0.02, 0.44)(-0.03, 0.00, 0.48)(-0.03, 0.00, 0.50)(-0.04, 0.00, 0.51)(0.02, -0.08, 0.42)(0.01, -0.03, 0.44)(0.00, -0.03, 0.49)(-0.01, -0.06, 0.48)(-0.01, -0.07, 0.47)(0.03, -0.08, 0.43)(0.03, -0.03, 0.45)(0.01, -0.04, 0.49)(0.01, -0.06, 0.48)(0.01, -0.07, 0.46)(0.04, -0.08, 0.43)(0.04, -0.04, 0.46)(0.03, -0.05, 0.48)(0.03, -0.06, 0.47)(0.02, -0.07, 0.46)
(0.02, -0.09, 0.42)(0.02, -0.05, 0.45)(0.00, -0.08, 0.44)(-0.03, -0.06, 0.46)(-0.03, -0.04, 0.49)(-0.02, -0.04, 0.50)(0.01, -0.08, 0.44)(-0.01, -0.02, 0.46)(-0.02, 0.00, 0.49)(-0.03, 0.00, 0.52)(-0.03, 0.00, 0.53)(0.02, -0.08, 0.44)(0.01, -0.02, 0.46)(0.00, -0.03, 0.50)(0.00, -0.05, 0.50)(0.00, -0.07, 0.49)(0.03, -0.08, 0.44)(0.03, -0.03, 0.47)(0.02, -0.04, 0.50)(0.01, -0.06, 0.49)(0.01, -0.07, 0.47)(0.04, -0.08, 0.44)(0.04, -0.04, 0.48)(0.03, -0.05, 0.50)(0.03, -0.06, 0.49)(0.02, -0.07, 0.47)
(0.02, -0.09, 0.43)(0.02, -0.05, 0.46)(0.00, -0.08, 0.44)(-0.03, -0.06, 0.47)(-0.03, -0.04, 0.50)(-0.02, -0.04, 0.51)(0.01, -0.07, 0.45)(-0.01, -0.02, 0.47)(-0.02, 0.00, 0.51)(-0.03, 0.00, 0.53)(-0.03, 0.00, 0.54)(0.02, -0.07, 0.45)(0.01, -0.02, 0.47)(0.00, -0.03, 0.51)(-0.01, -0.05, 0.51)(-0.01, -0.06, 0.50)(0.03, -0.07, 0.45)(0.03, -0.03, 0.48)(0.01, -0.04, 0.51)(0.01, -0.06, 0.50)(0.01, -0.07, 0.48)(0.03, -0.08, 0.45)(0.04, -0.04, 0.49)(0.03, -0.05, 0.51)(0.03, -0.06, 0.50)(0.02, -0.07, 0.48)
(0.02, -0.09, 0.44)(0.02, -0.05, 0.47)(0.00, -0.08, 0.46)(-0.03, -0.06, 0.48)(-0.03, -0.05, 0.51)(-0.02, -0.04, 0.53)(0.01, -0.08, 0.46)(-0.01, -0.02, 0.48)(-0.02, 0.00, 0.52)(-0.03, 0.00, 0.54)(-0.03, 0.00, 0.56)(0.01, -0.08, 0.46)(0.01, -0.02, 0.48)(0.00, -0.03, 0.53)(0.00, -0.06, 0.52)(-0.01, -0.07, 0.51)(0.03, -0.08, 0.46)(0.03, -0.03, 0.49)(0.02, -0.05, 0.52)(0.01, -0.06, 0.51)(0.01, -0.07, 0.49)(0.03, -0.08, 0.46)(0.04, -0.04, 0.50)(0.03, -0.05, 0.52)(0.03, -0.07, 0.51)(0.02, -0.07, 0.49)
(0.02, -0.09, 0.44)(0.02, -0.05, 0.46)(0.00, -0.08, 0.45)(-0.03, -0.07, 0.47)(-0.03, -0.05, 0.50)(-0.02, -0.04, 0.52)(0.01, -0.08, 0.45)(-0.01, -0.02, 0.47)(-0.02, 0.00, 0.51)(-0.03, 0.00, 0.53)(-0.03, 0.00, 0.54)(0.02, -0.08, 0.45)(0.01, -0.03, 0.47)(0.00, -0.03, 0.51)(0.00, -0.06, 0.51)(0.00, -0.07, 0.50)(0.03, -0.08, 0.45)(0.03, -0.03, 0.48)(0.02, -0.05, 0.51)(0.01, -0.06, 0.50)(0.01, -0.07, 0.48)(0.04, -0.08, 0.45)(0.05, -0.04, 0.49)(0.04, -0.05, 0.51)(0.03, -0.07, 0.50)(0.02, -0.07, 0.49)
(0.03, -0.10, 0.40)(0.03, -0.06, 0.42)(0.01, -0.09, 0.41)(-0.02, -0.07, 0.43)(-0.03, -0.05, 0.46)(-0.02, -0.04, 0.47)(0.02, -0.09, 0.41)(0.00, -0.03, 0.43)(-0.02, -0.01, 0.46)(-0.02, 0.00, 0.48)(-0.03, 0.00, 0.49)(0.03, -0.09, 0.41)(0.02, -0.03, 0.43)(0.00, -0.03, 0.47)(0.00, -0.06, 0.47)(0.00, -0.07, 0.46)(0.04, -0.09, 0.41)(0.04, -0.04, 0.44)(0.02, -0.05, 0.47)(0.02, -0.07, 0.46)(0.02, -0.08, 0.45)(0.04, -0.09, 0.42)(0.05, -0.05, 0.45)(0.04, -0.05, 0.47)(0.03, -0.07, 0.46)(0.03, -0.07, 0.45)
(0.04, -0.12, 0.37)(0.03, -0.07, 0.39)(0.01, -0.10, 0.37)(-0.02, -0.08, 0.39)(-0.03, -0.06, 0.41)(-0.02, -0.05, 0.43)(0.02, -0.10, 0.37)(0.00, -0.04, 0.38)(-0.01, -0.01, 0.41)(-0.02, -0.01, 0.43)(-0.02, 0.00, 0.45)(0.03, -0.10, 0.38)(0.02, -0.04, 0.39)(0.01, -0.03, 0.43)(0.00, -0.06, 0.43)(0.00, -0.07, 0.42)(0.04, -0.10, 0.38)(0.04, -0.05, 0.40)(0.02, -0.05, 0.43)(0.02, -0.07, 0.43)(0.02, -0.08, 0.41)(0.05, -0.10, 0.38)(0.05, -0.06, 0.41)(0.04, -0.06, 0.43)(0.03, -0.07, 0.43)(0.03, -0.08, 0.42)
(0.05, -0.13, 0.34)(0.04, -0.08, 0.35)(0.02, -0.11, 0.34)(-0.01, -0.09, 0.35)(-0.03, -0.06, 0.37)(-0.04, -0.05, 0.38)(0.03, -0.11, 0.34)(0.01, -0.05, 0.35)(-0.01, -0.03, 0.37)(-0.01, -0.03, 0.40)(-0.02, -0.04, 0.41)(0.04, -0.11, 0.34)(0.03, -0.05, 0.35)(0.01, -0.03, 0.39)(0.00, -0.06, 0.40)(0.00, -0.07, 0.39)(0.05, -0.11, 0.35)(0.05, -0.06, 0.37)(0.03, -0.05, 0.40)(0.02, -0.07, 0.40)(0.02, -0.08, 0.39)(0.06, -0.11, 0.35)(0.06, -0.07, 0.38)(0.05, -0.05, 0.40)(0.04, -0.07, 0.40)(0.04, -0.08, 0.39)
