(0.03, -0.11, 0.28)(0.05, -0.08, 0.30)(0.02, -0.09, 0.28)(0.00, -0.05, 0.28)(0.00, -0.02, 0.29)(0.00, 0.00, 0.29)(0.03, -0.09, 0.28)(0.04, -0.03, 0.30)(0.06, 0.01, 0.30)(0.07, 0.03, 0.31)(0.07, 0.04, 0.32)(0.03, -0.10, 0.29)(0.06, -0.04, 0.31)(0.09, 0.00, 0.31)(0.10, 0.02, 0.31)(0.10, 0.04, 0.32)(0.04, -0.11, 0.29)(0.07, -0.05, 0.32)(0.10, -0.02, 0.32)(0.11, 0.00, 0.33)(0.11, 0.02, 0.34)(0.05, -0.11, 0.30)(0.08, -0.07, 0.33)(0.10, -0.05, 0.32)(0.12, -0.04, 0.33)(0.12, -0.03, 0.34)
(-0.04, -0.15, 0.27)(-0.06, -0.10, 0.28)(-0.07, -0.14, 0.27)(-0.11, -0.13, 0.27)(-0.14, -0.11, 0.27)(-0.15, -0.10, 0.27)(-0.06, -0.14, 0.27)(-0.10, -0.09, 0.27)(-0.12, -0.04, 0.27)(-0.13, -0.02, 0.27)(-0.14, -0.01, 0.27)(-0.05, -0.14, 0.27)(-0.08, -0.07, 0.28)(-0.09, -0.03, 0.27)(-0.10, 0.00, 0.27)(-0.11, 0.02, 0.27)(-0.04, -0.13, 0.28)(-0.06, -0.07, 0.29)(-0.07, -0.03, 0.28)(-0.08, -0.01, 0.28)(-0.08, 0.01, 0.28)(-0.03, -0.13, 0.28)(-0.04, -0.08, 0.30)(-0.04, -0.04, 0.29)(-0.04, -0.02, 0.30)(-0.04, -0.01, 0.30)
(-0.03, -0.15, 0.24)(-0.05, -0.11, 0.25)(-0.06, -0.15, 0.25)(-0.10, -0.14, 0.24)(-0.13, -0.13, 0.25)(-0.15, -0.12, 0.25)(-0.05, -0.14, 0.25)(-0.09, -0.10, 0.25)(-0.12, -0.06, 0.24)(-0.14, -0.04, 0.23)(-0.15, -0.03, 0.24)(-0.04, -0.14, 0.25)(-0.08, -0.08, 0.25)(-0.10, -0.04, 0.24)(-0.12, -0.01, 0.24)(-0.13, 0.00, 0.24)(-0.03, -0.13, 0.25)(-0.06, -0.07, 0.26)(-0.08, -0.03, 0.25)(-0.09, -0.01, 0.25)(-0.10, 0.00, 0.25)(-0.02, -0.13, 0.26)(-0.04, -0.07, 0.27)(-0.05, -0.04, 0.26)(-0.05, -0.02, 0.26)(-0.06, -0.01, 0.26)
(0.01, -0.11, 0.25)(0.01, -0.07, 0.26)(-0.01, -0.10, 0.25)(-0.05, -0.06, 0.25)(-0.06, -0.04, 0.25)(-0.08, -0.02, 0.25)(0.00, -0.09, 0.25)(-0.02, -0.03, 0.26)(-0.02, 0.01, 0.25)(-0.02, 0.04, 0.25)(-0.03, 0.05, 0.26)(0.00, -0.10, 0.26)(0.01, -0.03, 0.26)(0.01, 0.02, 0.26)(0.01, 0.05, 0.26)(0.01, 0.07, 0.27)(0.02, -0.10, 0.26)(0.02, -0.03, 0.28)(0.03, 0.01, 0.27)(0.03, 0.03, 0.27)(0.04, 0.05, 0.28)(0.02, -0.10, 0.27)(0.04, -0.05, 0.29)(0.05, -0.02, 0.28)(0.06, 0.00, 0.29)(0.06, 0.02, 0.29)
(0.03, -0.09, 0.24)(0.05, -0.06, 0.27)(0.02, -0.07, 0.25)(0.01, -0.02, 0.25)(0.01, 0.01, 0.26)(0.00, 0.03, 0.27)(0.03, -0.07, 0.25)(0.05, -0.01, 0.27)(0.07, 0.03, 0.28)(0.08, 0.05, 0.29)(0.08, 0.06, 0.30)(0.04, -0.08, 0.25)(0.07, -0.03, 0.28)(0.10, 0.01, 0.29)(0.11, 0.04, 0.30)(0.12, 0.05, 0.31)(0.04, -0.09, 0.26)(0.08, -0.04, 0.29)(0.11, -0.01, 0.30)(0.12, 0.01, 0.31)(0.13, 0.02, 0.31)(0.05, -0.09, 0.26)(0.08, -0.06, 0.30)(0.11, -0.04, 0.30)(0.12, -0.03, 0.31)(0.13, -0.02, 0.31)
(0.02, -0.11, 0.25)(0.02, -0.06, 0.27)(-0.01, -0.10, 0.26)(-0.04, -0.07, 0.25)(-0.07, -0.05, 0.26)(-0.08, -0.04, 0.26)(0.00, -0.09, 0.26)(-0.02, -0.03, 0.26)(-0.03, 0.01, 0.25)(-0.03, 0.03, 0.25)(-0.04, 0.05, 0.26)(0.01, -0.09, 0.26)(0.00, -0.03, 0.26)(0.00, 0.02, 0.26)(0.00, 0.05, 0.25)(0.00, 0.07, 0.26)(0.02, -0.09, 0.26)(0.02, -0.03, 0.27)(0.02, 0.01, 0.26)(0.02, 0.04, 0.26)(0.02, 0.06, 0.26)(0.03, -0.10, 0.27)(0.04, -0.04, 0.28)(0.05, -0.01, 0.27)(0.06, 0.01, 0.27)(0.06, 0.03, 0.28)
(0.00, -0.13, 0.25)(-0.01, -0.08, 0.26)(-0.03, -0.12, 0.25)(-0.07, -0.11, 0.25)(-0.10, -0.09, 0.25)(-0.11, -0.08, 0.26)(-0.02, -0.12, 0.25)(-0.05, -0.06, 0.25)(-0.07, -0.02, 0.24)(-0.09, 0.00, 0.24)(-0.09, 0.01, 0.25)(-0.01, -0.11, 0.26)(-0.03, -0.05, 0.26)(-0.05, 0.00, 0.25)(-0.06, 0.02, 0.24)(-0.06, 0.04, 0.24)(0.00, -0.11, 0.26)(-0.01, -0.05, 0.27)(-0.02, -0.01, 0.26)(-0.03, 0.02, 0.26)(-0.03, 0.03, 0.26)(0.01, -0.11, 0.26)(0.01, -0.05, 0.27)(0.01, -0.02, 0.26)(0.01, 0.00, 0.26)(0.01, 0.01, 0.27)
(0.00, -0.13, 0.24)(-0.03, -0.09, 0.25)(-0.03, -0.13, 0.25)(-0.08, -0.12, 0.24)(-0.11, -0.11, 0.25)(-0.13, -0.10, 0.25)(-0.02, -0.12, 0.25)(-0.07, -0.07, 0.25)(-0.10, -0.04, 0.24)(-0.12, -0.02, 0.24)(-0.13, -0.01, 0.25)(-0.02, -0.12, 0.25)(-0.05, -0.06, 0.25)(-0.08, -0.02, 0.24)(-0.09, 0.01, 0.24)(-0.10, 0.02, 0.24)(-0.01, -0.11, 0.25)(-0.04, -0.05, 0.26)(-0.05, -0.01, 0.25)(-0.07, 0.01, 0.25)(-0.07, 0.02, 0.25)(0.00, -0.11, 0.26)(-0.02, -0.05, 0.27)(-0.02, -0.02, 0.26)(-0.03, 0.00, 0.26)(-0.03, 0.01, 0.26)
(0.00, -0.12, 0.24)(-0.01, -0.07, 0.26)(-0.03, -0.11, 0.24)(-0.07, -0.08, 0.24)(-0.09, -0.06, 0.25)(-0.10, -0.05, 0.25)(-0.02, -0.10, 0.25)(-0.04, -0.04, 0.25)(-0.06, 0.00, 0.25)(-0.07, 0.02, 0.25)(-0.08, 0.03, 0.26)(-0.01, -0.10, 0.25)(-0.02, -0.04, 0.26)(-0.03, 0.01, 0.26)(-0.03, 0.04, 0.26)(-0.04, 0.06, 0.26)(0.00, -0.10, 0.25)(0.00, -0.04, 0.27)(0.00, 0.01, 0.26)(-0.01, 0.03, 0.27)(-0.01, 0.05, 0.27)(0.01, -0.10, 0.26)(0.01, -0.05, 0.28)(0.02, -0.01, 0.27)(0.02, 0.01, 0.27)(0.02, 0.02, 0.28)
(0.01, -0.11, 0.25)(0.03, -0.07, 0.27)(0.00, -0.09, 0.25)(-0.03, -0.05, 0.25)(-0.04, -0.02, 0.26)(-0.04, 0.00, 0.26)(0.01, -0.09, 0.25)(0.01, -0.03, 0.27)(0.02, 0.02, 0.28)(0.02, 0.04, 0.28)(0.02, 0.05, 0.29)(0.01, -0.09, 0.26)(0.03, -0.03, 0.28)(0.05, 0.01, 0.29)(0.06, 0.04, 0.29)(0.06, 0.05, 0.30)(0.02, -0.10, 0.26)(0.05, -0.04, 0.29)(0.07, -0.01, 0.29)(0.08, 0.02, 0.30)(0.08, 0.03, 0.31)(0.03, -0.11, 0.27)(0.06, -0.06, 0.30)(0.08, -0.04, 0.30)(0.09, -0.02, 0.30)(0.10, -0.01, 0.31)
